03/01/2020 14:28:52 Application Starting Up
03/01/2020 14:28:55 You requested the index page.
03/01/2020 14:32:25 The value of i is 4
03/01/2020 14:32:25 The value of i is 5
03/01/2020 14:32:25 The value of i is 6
03/01/2020 14:32:25 The value of i is 7
03/01/2020 14:32:25 The value of i is 8
03/01/2020 14:32:25 The value of i is 9
03/01/2020 14:32:25 The value of i is 10
03/01/2020 14:32:25 The value of i is 11
03/01/2020 14:32:25 The value of i is 12
03/01/2020 14:32:25 The value of i is 13
03/01/2020 14:32:25 The value of i is 14
03/01/2020 14:32:25 The value of i is 15
03/01/2020 14:32:25 The value of i is 16
03/01/2020 14:32:25 The value of i is 17
03/01/2020 14:32:25 The value of i is 18
03/01/2020 14:32:25 The value of i is 19
03/01/2020 14:32:25 The value of i is 20
03/01/2020 14:32:25 The value of i is 21
03/01/2020 14:32:25 The value of i is 22
03/01/2020 14:32:25 The value of i is 23
03/01/2020 14:32:25 The value of i is 24
03/01/2020 14:32:25 The value of i is 25
03/01/2020 14:32:25 The value of i is 26
03/01/2020 14:32:25 The value of i is 27
03/01/2020 14:32:25 The value of i is 28
03/01/2020 14:32:25 The value of i is 29
03/01/2020 14:32:25 The value of i is 30
03/01/2020 14:32:25 The value of i is 31
03/01/2020 14:32:25 The value of i is 32
03/01/2020 14:32:25 The value of i is 33
03/01/2020 14:32:25 The value of i is 34
03/01/2020 14:32:25 The value of i is 35
03/01/2020 14:32:25 The value of i is 36
03/01/2020 14:32:25 The value of i is 37
03/01/2020 14:32:25 The value of i is 38
03/01/2020 14:32:25 The value of i is 39
03/01/2020 14:32:25 The value of i is 40
03/01/2020 14:32:25 The value of i is 41
03/01/2020 14:32:25 The value of i is 42
03/01/2020 14:32:25 The value of i is 43
03/01/2020 14:32:25 The value of i is 44
03/01/2020 14:32:25 The value of i is 45
03/01/2020 14:32:25 The value of i is 46
03/01/2020 14:32:25 The value of i is 47
03/01/2020 14:32:25 The value of i is 48
03/01/2020 14:32:25 The value of i is 49
03/01/2020 14:32:25 The value of i is 50
03/01/2020 14:32:25 The value of i is 51
03/01/2020 14:32:25 The value of i is 52
03/01/2020 14:32:25 The value of i is 53
03/01/2020 14:32:25 The value of i is 54
03/01/2020 14:32:25 The value of i is 55
03/01/2020 14:32:25 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:32:25 HTTP "GET" "/" responded 200 in 551.2995 ms
03/01/2020 14:33:30 HTTP "GET" "/Privacy" responded 200 in 52.0591 ms
03/01/2020 14:33:34 You requested the index page.
03/01/2020 14:33:34 The value of i is 0
03/01/2020 14:33:34 The value of i is 1
03/01/2020 14:33:34 The value of i is 2
03/01/2020 14:33:34 The value of i is 3
03/01/2020 14:33:34 The value of i is 4
03/01/2020 14:33:34 The value of i is 5
03/01/2020 14:33:34 The value of i is 6
03/01/2020 14:33:34 The value of i is 7
03/01/2020 14:33:34 The value of i is 8
03/01/2020 14:33:34 The value of i is 9
03/01/2020 14:33:34 The value of i is 10
03/01/2020 14:33:34 The value of i is 11
03/01/2020 14:33:34 The value of i is 12
03/01/2020 14:33:34 The value of i is 13
03/01/2020 14:33:34 The value of i is 14
03/01/2020 14:33:34 The value of i is 15
03/01/2020 14:33:34 The value of i is 16
03/01/2020 14:33:34 The value of i is 17
03/01/2020 14:33:34 The value of i is 18
03/01/2020 14:33:34 The value of i is 19
03/01/2020 14:33:34 The value of i is 20
03/01/2020 14:33:34 The value of i is 21
03/01/2020 14:33:34 The value of i is 22
03/01/2020 14:33:34 The value of i is 23
03/01/2020 14:33:34 The value of i is 24
03/01/2020 14:33:34 The value of i is 25
03/01/2020 14:33:34 The value of i is 26
03/01/2020 14:33:34 The value of i is 27
03/01/2020 14:33:34 The value of i is 28
03/01/2020 14:33:34 The value of i is 29
03/01/2020 14:33:34 The value of i is 30
03/01/2020 14:33:34 The value of i is 31
03/01/2020 14:33:34 The value of i is 32
03/01/2020 14:33:34 The value of i is 33
03/01/2020 14:33:34 The value of i is 34
03/01/2020 14:33:34 The value of i is 35
03/01/2020 14:33:34 The value of i is 36
03/01/2020 14:33:34 The value of i is 37
03/01/2020 14:33:34 The value of i is 38
03/01/2020 14:33:34 The value of i is 39
03/01/2020 14:33:34 The value of i is 40
03/01/2020 14:33:34 The value of i is 41
03/01/2020 14:33:34 The value of i is 42
03/01/2020 14:33:34 The value of i is 43
03/01/2020 14:33:34 The value of i is 44
03/01/2020 14:33:34 The value of i is 45
03/01/2020 14:33:34 The value of i is 46
03/01/2020 14:33:34 The value of i is 47
03/01/2020 14:33:34 The value of i is 48
03/01/2020 14:33:34 The value of i is 49
03/01/2020 14:33:34 The value of i is 50
03/01/2020 14:33:34 The value of i is 51
03/01/2020 14:33:34 The value of i is 52
03/01/2020 14:33:34 The value of i is 53
03/01/2020 14:33:34 The value of i is 54
03/01/2020 14:33:34 The value of i is 55
03/01/2020 14:33:34 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:33:34 HTTP "GET" "/" responded 200 in 147.4536 ms
03/01/2020 14:33:35 HTTP "GET" "/Privacy" responded 200 in 4.0198 ms
03/01/2020 14:33:37 You requested the index page.
03/01/2020 14:33:37 The value of i is 0
03/01/2020 14:33:37 The value of i is 1
03/01/2020 14:33:37 The value of i is 2
03/01/2020 14:33:37 The value of i is 3
03/01/2020 14:33:37 The value of i is 4
03/01/2020 14:33:37 The value of i is 5
03/01/2020 14:33:37 The value of i is 6
03/01/2020 14:33:37 The value of i is 7
03/01/2020 14:33:37 The value of i is 8
03/01/2020 14:33:37 The value of i is 9
03/01/2020 14:33:37 The value of i is 10
03/01/2020 14:33:37 The value of i is 11
03/01/2020 14:33:37 The value of i is 12
03/01/2020 14:33:37 The value of i is 13
03/01/2020 14:33:37 The value of i is 14
03/01/2020 14:33:37 The value of i is 15
03/01/2020 14:33:37 The value of i is 16
03/01/2020 14:33:37 The value of i is 17
03/01/2020 14:33:37 The value of i is 18
03/01/2020 14:33:37 The value of i is 19
03/01/2020 14:33:37 The value of i is 20
03/01/2020 14:33:37 The value of i is 21
03/01/2020 14:33:37 The value of i is 22
03/01/2020 14:33:37 The value of i is 23
03/01/2020 14:33:37 The value of i is 24
03/01/2020 14:33:37 The value of i is 25
03/01/2020 14:33:37 The value of i is 26
03/01/2020 14:33:37 The value of i is 27
03/01/2020 14:33:37 The value of i is 28
03/01/2020 14:33:37 The value of i is 29
03/01/2020 14:33:37 The value of i is 30
03/01/2020 14:33:37 The value of i is 31
03/01/2020 14:33:37 The value of i is 32
03/01/2020 14:33:37 The value of i is 33
03/01/2020 14:33:37 The value of i is 34
03/01/2020 14:33:37 The value of i is 35
03/01/2020 14:33:37 The value of i is 36
03/01/2020 14:33:37 The value of i is 37
03/01/2020 14:33:37 The value of i is 38
03/01/2020 14:33:37 The value of i is 39
03/01/2020 14:33:37 The value of i is 40
03/01/2020 14:33:37 The value of i is 41
03/01/2020 14:33:37 The value of i is 42
03/01/2020 14:33:37 The value of i is 43
03/01/2020 14:33:37 The value of i is 44
03/01/2020 14:33:37 The value of i is 45
03/01/2020 14:33:37 The value of i is 46
03/01/2020 14:33:37 The value of i is 47
03/01/2020 14:33:37 The value of i is 48
03/01/2020 14:33:37 The value of i is 49
03/01/2020 14:33:37 The value of i is 50
03/01/2020 14:33:37 The value of i is 51
03/01/2020 14:33:37 The value of i is 52
03/01/2020 14:33:37 The value of i is 53
03/01/2020 14:33:37 The value of i is 54
03/01/2020 14:33:37 The value of i is 55
03/01/2020 14:33:38 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:33:38 HTTP "GET" "/" responded 200 in 162.2525 ms
03/01/2020 14:33:38 HTTP "GET" "/Privacy" responded 200 in 5.6411 ms
03/01/2020 14:33:41 HTTP "GET" "/Privacy" responded 200 in 3.7839 ms
03/01/2020 14:33:41 HTTP "GET" "/Privacy" responded 200 in 7.9986 ms
03/01/2020 14:33:42 HTTP "GET" "/Privacy" responded 200 in 4.9722 ms
03/01/2020 14:33:42 HTTP "GET" "/Privacy" responded 200 in 4.0269 ms
03/01/2020 14:33:43 HTTP "GET" "/Privacy" responded 200 in 2.3850 ms
03/01/2020 14:33:43 HTTP "GET" "/Privacy" responded 200 in 3.3018 ms
03/01/2020 14:38:14 Application Starting Up
03/01/2020 14:38:17 You requested the index page.
03/01/2020 14:38:17 The value of i is 0
03/01/2020 14:38:17 The value of i is 1
03/01/2020 14:38:17 The value of i is 2
03/01/2020 14:38:17 The value of i is 3
03/01/2020 14:38:17 The value of i is 4
03/01/2020 14:38:17 The value of i is 5
03/01/2020 14:38:17 The value of i is 6
03/01/2020 14:38:17 The value of i is 7
03/01/2020 14:38:17 The value of i is 8
03/01/2020 14:38:17 The value of i is 9
03/01/2020 14:38:17 The value of i is 10
03/01/2020 14:38:17 The value of i is 11
03/01/2020 14:38:17 The value of i is 12
03/01/2020 14:38:17 The value of i is 13
03/01/2020 14:38:17 The value of i is 14
03/01/2020 14:38:17 The value of i is 15
03/01/2020 14:38:17 The value of i is 16
03/01/2020 14:38:17 The value of i is 17
03/01/2020 14:38:17 The value of i is 18
03/01/2020 14:38:17 The value of i is 19
03/01/2020 14:38:17 The value of i is 20
03/01/2020 14:38:17 The value of i is 21
03/01/2020 14:38:17 The value of i is 22
03/01/2020 14:38:17 The value of i is 23
03/01/2020 14:38:17 The value of i is 24
03/01/2020 14:38:17 The value of i is 25
03/01/2020 14:38:17 The value of i is 26
03/01/2020 14:38:17 The value of i is 27
03/01/2020 14:38:17 The value of i is 28
03/01/2020 14:38:17 The value of i is 29
03/01/2020 14:38:17 The value of i is 30
03/01/2020 14:38:17 The value of i is 31
03/01/2020 14:38:17 The value of i is 32
03/01/2020 14:38:17 The value of i is 33
03/01/2020 14:38:17 The value of i is 34
03/01/2020 14:38:17 The value of i is 35
03/01/2020 14:38:17 The value of i is 36
03/01/2020 14:38:17 The value of i is 37
03/01/2020 14:38:17 The value of i is 38
03/01/2020 14:38:17 The value of i is 39
03/01/2020 14:38:17 The value of i is 40
03/01/2020 14:38:17 The value of i is 41
03/01/2020 14:38:17 The value of i is 42
03/01/2020 14:38:17 The value of i is 43
03/01/2020 14:38:17 The value of i is 44
03/01/2020 14:38:17 The value of i is 45
03/01/2020 14:38:17 The value of i is 46
03/01/2020 14:38:17 The value of i is 47
03/01/2020 14:38:17 The value of i is 48
03/01/2020 14:38:17 The value of i is 49
03/01/2020 14:38:17 The value of i is 50
03/01/2020 14:38:17 The value of i is 51
03/01/2020 14:38:17 The value of i is 52
03/01/2020 14:38:17 The value of i is 53
03/01/2020 14:38:17 The value of i is 54
03/01/2020 14:38:17 The value of i is 55
03/01/2020 14:38:18 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:38:18 HTTP "GET" "/" responded 200 in 591.4277 ms
03/01/2020 14:38:28 HTTP "GET" "/Privacy" responded 200 in 17.0626 ms
03/01/2020 14:38:33 You requested the index page.
03/01/2020 14:38:33 The value of i is 0
03/01/2020 14:38:33 The value of i is 1
03/01/2020 14:38:33 The value of i is 2
03/01/2020 14:38:33 The value of i is 3
03/01/2020 14:38:33 The value of i is 4
03/01/2020 14:38:33 The value of i is 5
03/01/2020 14:38:33 The value of i is 6
03/01/2020 14:38:33 The value of i is 7
03/01/2020 14:38:33 The value of i is 8
03/01/2020 14:38:33 The value of i is 9
03/01/2020 14:38:33 The value of i is 10
03/01/2020 14:38:33 The value of i is 11
03/01/2020 14:38:33 The value of i is 12
03/01/2020 14:38:33 The value of i is 13
03/01/2020 14:38:33 The value of i is 14
03/01/2020 14:38:34 The value of i is 15
03/01/2020 14:38:34 The value of i is 16
03/01/2020 14:38:34 The value of i is 17
03/01/2020 14:38:34 The value of i is 18
03/01/2020 14:38:34 The value of i is 19
03/01/2020 14:38:34 The value of i is 20
03/01/2020 14:38:34 The value of i is 21
03/01/2020 14:38:34 The value of i is 22
03/01/2020 14:38:34 The value of i is 23
03/01/2020 14:38:34 The value of i is 24
03/01/2020 14:38:34 The value of i is 25
03/01/2020 14:38:34 The value of i is 26
03/01/2020 14:38:34 The value of i is 27
03/01/2020 14:38:34 The value of i is 28
03/01/2020 14:38:34 The value of i is 29
03/01/2020 14:38:34 The value of i is 30
03/01/2020 14:38:34 The value of i is 31
03/01/2020 14:38:34 The value of i is 32
03/01/2020 14:38:34 The value of i is 33
03/01/2020 14:38:34 The value of i is 34
03/01/2020 14:38:34 The value of i is 35
03/01/2020 14:38:34 The value of i is 36
03/01/2020 14:38:34 The value of i is 37
03/01/2020 14:38:34 The value of i is 38
03/01/2020 14:38:34 The value of i is 39
03/01/2020 14:38:34 The value of i is 40
03/01/2020 14:38:34 The value of i is 41
03/01/2020 14:38:34 The value of i is 42
03/01/2020 14:38:34 The value of i is 43
03/01/2020 14:38:34 The value of i is 44
03/01/2020 14:38:34 The value of i is 45
03/01/2020 14:38:34 The value of i is 46
03/01/2020 14:38:34 The value of i is 47
03/01/2020 14:38:34 The value of i is 48
03/01/2020 14:38:34 The value of i is 49
03/01/2020 14:38:34 The value of i is 50
03/01/2020 14:38:34 The value of i is 51
03/01/2020 14:38:34 The value of i is 52
03/01/2020 14:38:34 The value of i is 53
03/01/2020 14:38:34 The value of i is 54
03/01/2020 14:38:34 The value of i is 55
03/01/2020 14:38:34 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:38:34 HTTP "GET" "/" responded 200 in 155.4889 ms
03/20/2020 22:55:41 Configuring web host ("CountryCatalog.WebMvcRzr")...
03/20/2020 22:55:47 Program terminated unexpectedly ("CountryCatalog.WebMvcRzr")...
System.NotSupportedException: ConfigureServices returning an System.IServiceProvider isn't supported.
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.UseStartup(Type startupType, HostBuilderContext context, IServiceCollection services)
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.<>c__DisplayClass12_0.<UseStartup>b__0(HostBuilderContext context, IServiceCollection services)
   at Microsoft.Extensions.Hosting.HostBuilder.CreateServiceProvider()
   at Microsoft.Extensions.Hosting.HostBuilder.Build()
   at PrlyGrp.CountryCatalog.WebMvcRzr.Program.Main(String[] args) in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Program.cs:line 23
03/20/2020 22:56:14 Configuring web host ("CountryCatalog.WebMvcRzr")...
03/20/2020 22:56:15 Program terminated unexpectedly ("CountryCatalog.WebMvcRzr")...
System.NotSupportedException: ConfigureServices returning an System.IServiceProvider isn't supported.
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.UseStartup(Type startupType, HostBuilderContext context, IServiceCollection services)
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.<>c__DisplayClass12_0.<UseStartup>b__0(HostBuilderContext context, IServiceCollection services)
   at Microsoft.Extensions.Hosting.HostBuilder.CreateServiceProvider()
   at Microsoft.Extensions.Hosting.HostBuilder.Build()
   at PrlyGrp.CountryCatalog.WebMvcRzr.Program.Main(String[] args) in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Program.cs:line 23
03/20/2020 22:56:54 Configuring web host ("CountryCatalog.WebMvcRzr")...
03/20/2020 22:56:56 Program terminated unexpectedly ("CountryCatalog.WebMvcRzr")...
System.NotSupportedException: ConfigureServices returning an System.IServiceProvider isn't supported.
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.UseStartup(Type startupType, HostBuilderContext context, IServiceCollection services)
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.<>c__DisplayClass12_0.<UseStartup>b__0(HostBuilderContext context, IServiceCollection services)
   at Microsoft.Extensions.Hosting.HostBuilder.CreateServiceProvider()
   at Microsoft.Extensions.Hosting.HostBuilder.Build()
   at PrlyGrp.CountryCatalog.WebMvcRzr.Program.Main(String[] args) in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Program.cs:line 23
04/17/2020 20:49:01 Configuring web host ("CountryCatalog.WebMvcRzr")...
04/17/2020 20:49:03 Program terminated unexpectedly ("CountryCatalog.WebMvcRzr")...
System.NotSupportedException: ConfigureServices returning an System.IServiceProvider isn't supported.
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.UseStartup(Type startupType, HostBuilderContext context, IServiceCollection services)
   at Microsoft.AspNetCore.Hosting.GenericWebHostBuilder.<>c__DisplayClass12_0.<UseStartup>b__0(HostBuilderContext context, IServiceCollection services)
   at Microsoft.Extensions.Hosting.HostBuilder.CreateServiceProvider()
   at Microsoft.Extensions.Hosting.HostBuilder.Build()
   at PrlyGrp.CountryCatalog.WebMvcRzr.Program.Main(String[] args) in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Program.cs:line 23
04/17/2020 22:04:42 Configuring web host ("CountryCatalog.WebMvcRzr")...
04/17/2020 22:04:49 Starting web host("CountryCatalog.WebMvcRzr")...
04/17/2020 22:04:52 You requested the index page.
04/17/2020 22:04:52 The value of i is 0
04/17/2020 22:04:52 The value of i is 1
04/17/2020 22:04:52 The value of i is 2
04/17/2020 22:04:52 The value of i is 3
04/17/2020 22:04:52 The value of i is 4
04/17/2020 22:04:52 The value of i is 5
04/17/2020 22:04:52 The value of i is 6
04/17/2020 22:04:52 The value of i is 7
04/17/2020 22:04:52 The value of i is 8
04/17/2020 22:04:52 The value of i is 9
04/17/2020 22:04:52 The value of i is 10
04/17/2020 22:04:52 The value of i is 11
04/17/2020 22:04:52 The value of i is 12
04/17/2020 22:04:52 The value of i is 13
04/17/2020 22:04:52 The value of i is 14
04/17/2020 22:04:52 The value of i is 15
04/17/2020 22:04:52 The value of i is 16
04/17/2020 22:04:52 The value of i is 17
04/17/2020 22:04:52 The value of i is 18
04/17/2020 22:04:52 The value of i is 19
04/17/2020 22:04:52 The value of i is 20
04/17/2020 22:04:52 The value of i is 21
04/17/2020 22:04:52 The value of i is 22
04/17/2020 22:04:52 The value of i is 23
04/17/2020 22:04:52 The value of i is 24
04/17/2020 22:04:52 The value of i is 25
04/17/2020 22:04:52 The value of i is 26
04/17/2020 22:04:52 The value of i is 27
04/17/2020 22:04:52 The value of i is 28
04/17/2020 22:04:52 The value of i is 29
04/17/2020 22:04:52 The value of i is 30
04/17/2020 22:04:52 The value of i is 31
04/17/2020 22:04:52 The value of i is 32
04/17/2020 22:04:52 The value of i is 33
04/17/2020 22:04:52 The value of i is 34
04/17/2020 22:04:52 The value of i is 35
04/17/2020 22:04:52 The value of i is 36
04/17/2020 22:04:52 The value of i is 37
04/17/2020 22:04:52 The value of i is 38
04/17/2020 22:04:52 The value of i is 39
04/17/2020 22:04:52 The value of i is 40
04/17/2020 22:04:52 The value of i is 41
04/17/2020 22:04:52 The value of i is 42
04/17/2020 22:04:52 The value of i is 43
04/17/2020 22:04:52 The value of i is 44
04/17/2020 22:04:52 The value of i is 45
04/17/2020 22:04:52 The value of i is 46
04/17/2020 22:04:52 The value of i is 47
04/17/2020 22:04:52 The value of i is 48
04/17/2020 22:04:52 The value of i is 49
04/17/2020 22:04:52 The value of i is 50
04/17/2020 22:04:52 The value of i is 51
04/17/2020 22:04:52 The value of i is 52
04/17/2020 22:04:52 The value of i is 53
04/17/2020 22:04:52 The value of i is 54
04/17/2020 22:04:52 The value of i is 55
04/17/2020 22:04:52 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
04/17/2020 22:04:53 HTTP "GET" "/" responded 200 in 867.4624 ms
04/17/2020 22:05:00 HTTP "GET" "/Privacy" responded 200 in 20.4795 ms
04/17/2020 22:05:02 You requested the index page.
04/17/2020 22:05:02 The value of i is 0
04/17/2020 22:05:02 The value of i is 1
04/17/2020 22:05:02 The value of i is 2
04/17/2020 22:05:02 The value of i is 3
04/17/2020 22:05:02 The value of i is 4
04/17/2020 22:05:02 The value of i is 5
04/17/2020 22:05:02 The value of i is 6
04/17/2020 22:05:02 The value of i is 7
04/17/2020 22:05:02 The value of i is 8
04/17/2020 22:05:02 The value of i is 9
04/17/2020 22:05:02 The value of i is 10
04/17/2020 22:05:02 The value of i is 11
04/17/2020 22:05:02 The value of i is 12
04/17/2020 22:05:02 The value of i is 13
04/17/2020 22:05:02 The value of i is 14
04/17/2020 22:05:02 The value of i is 15
